timestamp,allocated,active,metadata,resident,mapped
6258168778147000,68917248,77086720,4298056,81297408,706117632
6258168790769000,69392384,77643776,4300360,81854464,708214784
6258168801630000,69916672,78249984,4302664,82460672,710311936
6258168812594000,70342656,78741504,4304584,82952192,712409088
6258168824279000,70621184,79069184,4306504,83410944,714506240
6258168834900000,71047168,79560704,4308808,83787776,716603392
6258168847022000,71620608,80216064,4311112,84443136,718700544
6258168857338000,72079360,80740352,4313032,84967424,720797696
6258168867498000,72521728,81248256,4314952,85475328,722894848
6258168877649000,72751104,81510400,4316488,85884928,722894848
6258168889480000,73127936,81952768,4318408,86179840,724992000
6258168902106000,73684992,82591744,4320712,86818816,727089152
6258168914211000,74127360,83099648,4323400,87343104,731283456
6258168926850000,74553344,83591168,4325320,87834624,733380608
6258168937194000,74995712,84099072,4327624,88342528,735477760
6258168949862000,75454464,84623360,4329544,88866816,737574912
6258168962482000,75880448,85131264,4331848,89374720,739672064
6258168973320000,76355584,85688320,4334152,89931776,741769216
6258168985938000,76814336,86212608,4336456,90456064,743866368
6258168997393000,77158400,86605824,4338376,90849280,745963520
6258169010013000,77666304,87195648,4340680,91455488,748060672
6258169021774000,78239744,87851008,4342984,92110848,750157824
6258169032078000,78551040,88211456,4344904,92471296,752254976
6258169043550000,78993408,88719360,4346824,92979200,754352128
6258169055704000,79501312,89309184,4349128,93569024,756449280
6258169068327000,80041984,89931776,4351432,94191616,758546432
6258169080945000,80599040,90570752,4353736,94830592,760643584
6258169093575000,80959488,90980352,4356040,95371264,762740736
6258169105730000,81467392,91570176,4357960,95846400,764837888
6258169116952000,81876992,92045312,4360264,96321536,766935040
6258169129589000,82155520,92372992,4362184,96649216,769032192
6258169139804000,82581504,92864512,4364104,97140736,771129344
6258169151016000,82991104,93339648,4366408,97615872,773226496
6258169163634000,83531776,93962240,4368712,98238464,775323648
6258169175205000,83941376,94437376,4370632,98713600,777420800
6258169186327000,84400128,94961664,4372936,99254272,779517952
6258169196559000,84858880,95485952,4374856,99778560,781615104
6258169209177000,85252096,95944704,4376776,100237312,783712256
6258169219511000,85628928,96387072,4378312,100679680,783712256
6258169230754000,86202368,97042432,4380616,101335040,785809408
6258169241220000,86595584,97501184,4382536,101793792,787906560
6258169251917000,86956032,97927168,4384456,102219776,790003712
6258169263315000,87349248,98385920,4386760,102678528,792100864
6258169275937000,87726080,98828288,4389064,103137280,794198016
6258169288393000,88102912,99270656,4391368,103579648,796295168
6258169298645000,88578048,99811328,4393288,104120320,798392320
6258169311278000,89020416,100319232,4395208,104628224,800489472
6258169323901000,89462784,100827136,4397896,105136128,804683776
6258169334583000,89970688,101416960,4400200,105725952,806780928
6258169347218000,90363904,101875712,4401736,106184704,806780928
6258169357449000,90773504,102350848,4403656,106659840,808878080
6258169367804000,91052032,102678528,4405576,107003904,810975232
6258169380425000,91543552,103251968,4407880,107577344,813072384
6258169390962000,91871232,103628800,4410184,107954176,815169536
6258169403584000,92231680,104054784,4412104,108380160,817266688
6258169416195000,92772352,104677376,4414792,109002752,819363840
6258169428822000,93116416,105086976,4416712,109412352,821460992
6258169439295000,93411328,105431040,4419400,109756416,825655296
6258169451918000,93886464,105971712,4420936,110297088,825655296
6258169464524000,94230528,106381312,4423240,110723072,827752448
6258169477136000,94722048,106954752,4425544,111296512,829849600
6258169489745000,95098880,107397120,4427848,111738880,831946752
6258169500365000,95524864,107888640,4429768,112230400,834043904
6258169512978000,95524864,107888640,4430152,112230400,836141056
6258169525588000,95524864,107888640,4430152,112230400,836141056
6258169538010000,95524864,107888640,4430152,112230400,836141056
6258169550613000,95524864,107888640,4430152,112230400,836141056
6258169563221000,95524864,107888640,4430152,112230400,836141056
6258169575833000,95524864,107888640,4430152,112230400,836141056
6258169588441000,95524864,107888640,4430152,112230400,836141056
6258169601049000,95524864,107888640,4430152,112230400,836141056
6258169613832000,95524864,107888640,4430152,112230400,836141056
6258169626495000,95524864,107888640,4430152,112230400,836141056
6258169639123000,95524864,107888640,4430152,112230400,836141056
6258169651740000,95524864,107888640,4430152,112230400,836141056
6258169664068000,95524864,107888640,4430152,112230400,836141056
6258169676679000,95524864,107888640,4430152,112230400,836141056
6258169689287000,95524864,107888640,4430152,112230400,836141056
6258169701903000,95524864,107888640,4430152,112230400,836141056
6258169714505000,95524864,107888640,4430152,112230400,836141056
6258169727110000,95524864,107888640,4430152,112230400,836141056
6258169739710000,95524864,107888640,4430152,112230400,836141056
6258169752313000,95524864,107888640,4430152,112230400,836141056
6258169764920000,95524864,107888640,4430152,112230400,836141056
6258169777523000,95524864,107888640,4430152,112230400,836141056
6258169790130000,95524864,107888640,4430152,112230400,836141056
6258169802741000,95524864,107888640,4430152,112230400,836141056
6258169815345000,95524864,107888640,4430152,112230400,836141056
6258169827953000,95524864,107888640,4430152,112230400,836141056
6258169840552000,95524864,107888640,4430152,112230400,836141056
6258169853157000,95524864,107888640,4430152,112230400,836141056
6258169865757000,95524864,107888640,4430152,112230400,836141056
